Hallmark_pathways	PAAD_NX.34_P3	PAAD_NX.35_P3	PAAD_NX.36_P3	PAAD_NX.37_P4	PAAD_NX.38_P3	PAAD_NX.39_P3	PAAD_NX.40_P3	PAAD_NX.41_P4	KIRC_NX.27_P2	KIRC_NX.27_P3	KIRC_NX.28_P2	KIRC_NX.28_P3	NSCLC_NX.29_P5	NSCLC_NX.30_P3	NSCLC_NX.31_P3	NSCLC_NX.32_P3	NSCLC_NX.33_P3	COAD_NX.03_P3	COAD_NX.04_P7	COAD_NX.04_P8	COAD_NX.04_P9	COAD_NX.04_P10	COAD_NX.04_P11	COAD_NX.04_P13	COAD_NX.05_P3	COAD_NX.06_P3	COAD_NX.07_P3	COAD_NX.08_P3	COAD_NX.09_P3	COAD_NX.10_P3	COAD_NX.11_P3	COAD_NX.12_P3	COAD_NX.13_P3	COAD_NX.14_P3	COAD_NX.15_P3	COAD_NX.16_P3	COAD_NX.17_P5	COAD_NX.17_P6	COAD_NX.17_P7	COAD_NX.18_P3	COAD_NX.19_P2	COAD_NX.19_P4	COAD_NX.20_P2	COAD_NX.20_P3	COAD_NX.21_P5	COAD_NX.22_P3	STAD_NX.42_P5	STAD_NX.42_P6	STAD_NX.42_P7	STAD_NX.42_P8	STAD_NX.43_P3	BRCA_NX.01_P3	BRCA_NX.02_P4	BRCA_NX.02_P5	GBM_NX.24_P3	GBM_NX.24_P4	GBM_NX.24_P5	GBM_NX.24_P6	EWS_NX.23_P3	EWS_NX.23_P4	EWS_NX.23_P5	EWS_NX.23_P6	EWS_NX.23_P7	EWS_NX.23_P8	EWS_NX.23_P9	EWS_NX.23_P10	GIST_NX.25_P3	GIST_NX.25_P4	GIST_NX.25_P5	GIST_NX.26_P3
TNFA_SIGNALING_VIA_NFKB	-0.0044	-0.25627	-0.24385	0.01473	-0.23599	-0.2315	-0.26738	-0.21096	-0.47735	-0.30246	-0.41697	-0.3763	0.04031	0.34521	0.26855	-0.24682	-0.23671	-0.39632	-0.41583	0.04686	0.09704	0.43479	-0.01644	-0.44218	-0.30988	-0.0506	-0.37043	-0.42281	-0.23695	-0.25296	0.08075	0.17698	0.5242	-0.07456	0.33574	-0.27044	-0.03761	0.27586	0.11573	-0.44977	0.40508	-0.30222	0.17403	0.3971	0.07898	-0.18715	0.09878	-0.10073	0.26635	0.43999	0.41688	-0.27729	-0.34949	0.02421	0.11223	0.21537	0.31789	0.32654	-0.4548	-0.15516	-0.38552	-0.06421	-0.33882	-0.0041	0.03736	0.06822	-0.2707	0.22521	0.08627	-0.29232
HYPOXIA	0.17989	-0.42772	-0.18309	-0.05156	-0.29204	-0.00029	-0.11177	-0.19773	-0.45353	-0.33271	-0.42026	-0.41197	0.34624	0.17566	0.2106	-0.19199	-0.26762	-0.39823	-0.28823	0.15355	0.07515	0.25699	0.15675	-0.11936	-0.15098	-0.41829	-0.40509	-0.36196	-0.45545	-0.34043	-0.1181	-0.28824	0.29534	0.00645	0.28958	-0.2799	-0.12188	-0.01781	0.12521	-0.40471	0.31379	-0.31576	0.01328	0.19026	0.25689	-0.22852	0.14743	0.07338	0.49884	0.44692	-0.06412	-0.09332	0.29429	0.30326	-0.31944	-0.01671	0.1208	0.16916	-0.01663	0.12172	0.08037	0.36168	0.08968	0.24004	0.2656	0.37889	-0.15135	0.09778	0.09064	-0.29006
MITOTIC_SPINDLE	-0.24407	0.07026	-0.41638	-0.04225	-0.45392	-0.47931	-0.45354	-0.24983	-0.21833	-0.31562	0.29065	0.30794	0.05785	-0.53238	-0.04443	0.04627	-0.5384	0.47458	-0.47419	-0.40803	-0.24441	-0.0581	-0.30137	-0.42543	0.32996	0.32699	0.17744	-0.30375	0.27382	0.15031	-0.12022	0.30573	0.40268	-0.19492	-0.11977	-0.18862	-0.56398	-0.08729	-0.04469	0.0895	0.47073	-0.10196	0.08975	-0.14783	-0.25154	-0.47604	-0.48665	0.23415	-0.1288	0.24505	0.17117	0.18355	0.15075	0.23067	0.27395	0.23458	0.20586	0.24938	0.11974	-0.34581	0.30707	-0.11842	0.27335	0.37886	0.32461	0.35644	-0.0066	-0.01241	0.01297	-0.53015
WNT_BETA_CATENIN_SIGNALING	0.1314	0.30596	0.02943	0.12091	-0.3955	-0.25803	-0.19783	-0.40068	-0.02243	-0.16491	0.21914	0.48321	0.26262	-0.55958	-0.23822	0.00318	-0.49364	0.23795	-0.10657	0.07109	-0.2267	-0.33756	-0.24657	-0.28638	0.17123	0.14522	0.35235	0.16654	-0.19108	0.05024	0.06871	0.41348	0.10844	0.3722	0.02772	-0.16694	-0.42636	-0.18348	0.02685	0.11895	0.51003	0.07101	0.27418	0.23959	-0.07516	-0.41611	-0.3346	-0.24998	-0.06724	-0.07979	0.49369	0.14969	0.08197	-0.17455	-0.03831	-0.47712	-0.13285	-0.27219	0.04082	-0.25311	0.24806	-0.09688	-0.01507	0.17249	0.0886	-0.0719	-0.03135	-0.05101	0.07923	-0.13103
TGF_BETA_SIGNALING	0.17546	-0.17527	-0.18105	0.03197	-0.28361	-0.28172	-0.3636	-0.36621	-0.29765	-0.39639	0.16835	0.12604	0.09404	-0.56806	-0.09213	-0.13874	-0.41022	0.08128	-0.40164	-0.03549	-0.33397	0.24436	-0.13649	-0.3868	0.05982	0.42513	0.14962	0.06193	0.26493	0.00867	0.27167	0.50781	0.30229	0.32519	0.51236	0.19972	-0.57452	0.11501	0.38166	0.18574	0.42147	0.18746	0.11612	0.36549	0.10105	-0.38651	-0.25974	0.02533	-0.02782	0.21061	0.46911	-0.20567	0.08138	0.40691	-0.13476	-0.3379	0.09309	-0.25929	-0.18831	-0.46341	-0.11604	-0.2891	-0.23351	0.06937	-0.30663	-0.15209	-0.1805	0.14304	-0.17059	-0.46203
IL6_JAK_STAT3_SIGNALING	-0.27032	0.2195	-0.10897	-0.14219	-0.18634	-0.22467	-0.26324	-0.08462	-0.00427	-0.14398	-0.35985	-0.34197	0.15404	0.47301	0.45589	0.11211	-0.18807	0.04242	-0.24789	-0.20487	-0.13902	-0.12016	-0.04426	-0.46376	0.03172	-0.09451	-0.38292	-0.31637	-0.21928	-0.15821	0.21049	0.37338	0.34361	-0.21873	0.19761	-0.17598	0.13022	0.02568	0.25469	-0.2973	0.3304	-0.28779	-0.25672	0.3648	-0.20934	-0.09469	-0.2342	-0.05941	0.20896	0.31333	0.30757	-0.08543	-0.24932	-0.34276	0.41644	0.35012	0.31572	0.49883	-0.49187	-0.33064	-0.46534	-0.18603	-0.39449	-0.33753	-0.1136	-0.12713	-0.01682	0.11668	0.08715	-0.14243
DNA_REPAIR	0.22241	-0.48671	0.02995	-0.28685	0.34227	0.3966	0.24933	-0.35393	-0.04349	0.26571	0.30624	-0.34451	-0.09344	0.07707	-0.08655	-0.46143	0.39372	-0.59228	-0.03227	-0.19742	-0.08615	-0.25779	-0.19628	-0.23001	-0.18014	-0.33806	-0.35128	-0.32438	-0.45249	-0.05247	-0.43393	-0.54726	0.06401	-0.30726	-0.00808	-0.48889	0.19	-0.27674	-0.2305	-0.12246	-0.22256	0.18256	-0.41238	-0.05701	0.03977	0.29184	0.29775	-0.14613	0.0057	0.09525	-0.43466	0.04816	-0.47636	-0.23461	-0.05015	0.02396	-0.06725	-0.05505	0.04222	0.35841	0.24614	0.20403	0.28861	0.1045	0.06255	-0.11216	0.07716	-0.10415	-0.29299	0.36379
G2M_CHECKPOINT	0.16408	0.16193	-0.41031	-0.3762	-0.35479	-0.39682	-0.43376	-0.39636	-0.31007	-0.31512	0.19742	-0.13349	0.0443	-0.40271	-0.12656	-0.17026	-0.47359	0.39829	-0.2873	-0.51488	0.04831	0.04119	-0.28031	-0.55217	0.05673	0.23598	0.24826	-0.36961	-0.01994	0.3846	-0.36841	-0.25758	0.49999	-0.56968	-0.13424	-0.18047	-0.55339	-0.42788	-0.47385	0.04502	0.36457	0.38548	-0.19874	-0.20029	-0.25043	-0.21202	-0.27261	0.26683	-0.51576	0.20027	-0.35583	0.51018	-0.35308	0.09874	0.34791	0.52545	0.42989	0.16238	0.39725	0.10766	0.52313	0.19123	0.44605	0.32727	0.40982	0.26826	0.0816	-0.14085	-0.22264	-0.46879
APOPTOSIS	-0.07943	-0.25888	-0.22698	-0.09779	-0.06766	-0.12872	-0.17958	-0.20561	-0.29516	-0.20892	-0.06903	-0.2316	-0.04454	0.02838	0.10752	-0.16073	-0.09295	-0.24296	-0.19721	0.00735	-0.03656	0.07529	-0.12343	-0.18244	-0.18191	-0.09291	-0.00158	-0.04046	-0.18779	-0.16498	-0.20782	-0.02249	0.15556	-0.16315	0.1191	-0.21196	-0.04376	0.1561	0.14954	-0.21973	0.2043	-0.13929	-0.13638	0.28074	0.06955	0.02355	0.04658	0.02779	0.19119	0.09371	0.07448	0.02897	-0.14607	0.14507	-0.0313	0.15974	0.16375	0.18633	-0.38277	-0.026	-0.20588	-0.0634	-0.08793	-0.04681	0.00619	-0.03717	-0.02671	0.16029	0.00321	-0.10672
NOTCH_SIGNALING	-0.09148	0.25819	0.16647	-0.14475	-0.29065	-0.35741	-0.39205	-0.24563	0.03331	-0.23041	0.11576	0.29154	-0.23373	-0.3698	-0.19595	0.01552	-0.34415	0.28139	0.20145	-0.16549	-0.36537	-0.28137	-0.26159	-0.25341	0.14944	0.28374	0.33883	0.48838	-0.04577	0.22003	0.30237	0.48707	0.34324	0.23303	0.06916	0.01172	-0.27236	-0.12477	0.13554	-0.08854	0.35162	-0.018	0.36868	0.35841	-0.08593	-0.09445	-0.40152	-0.23301	-0.17543	0.03967	0.41891	0.01494	0.04473	-0.24954	-0.03779	-0.28465	-0.24636	-0.27146	-0.28134	-0.43377	0.13191	-0.18059	-0.17131	0.18045	-0.19605	-0.14946	-0.02524	0.00229	0.0656	-0.18558
