CellType	Symbol	source
Dendritic cell	CCL1	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-016-1092-z
Dendritic cell	EBI3	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-016-1092-z
Dendritic cell	INDO	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-016-1092-z
Dendritic cell	LAMP3	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-016-1092-z
Dendritic cell	OAS3	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-016-1092-z
Dendritic cell	CCL13	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-016-1092-z
Dendritic cell	CCL17	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-016-1092-z
Dendritic cell	CCL22	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-016-1092-z
Dendritic cell	CD209	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-016-1092-z
Dendritic cell	HSD11B1	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-016-1092-z
Dendritic cell	NPR1	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-016-1092-z
Dendritic cell	PPFIBP2	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-016-1092-z
Dendritic cell	CD40	https://bmccancer.biomedcentral.com/articles/10.1186/s12885-019-5927-3
Dendritic cell	CD80	https://bmccancer.biomedcentral.com/articles/10.1186/s12885-019-5927-3
Dendritic cell	CD83	https://bmccancer.biomedcentral.com/articles/10.1186/s12885-019-5927-3
Dendritic cell	CCR7	https://bmccancer.biomedcentral.com/articles/10.1186/s12885-019-5927-3
Dendritic cell	IL3RA	https://www.nature.com/articles/s41467-017-02289-3
Dendritic cell	CLEC4C	https://www.nature.com/articles/s41467-017-02289-3
Macrophage	APOE	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-016-1092-z
Macrophage	ATG7	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-016-1092-z
Macrophage	BCAT1	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-016-1092-z
Macrophage	CCL7	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-016-1092-z
Macrophage	CD163	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-016-1092-z
Macrophage	CD68	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-016-1092-z
Macrophage	CD84	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-016-1092-z
Macrophage	CHI3L1	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-016-1092-z
Macrophage	CHIT1	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-016-1092-z
Macrophage	CLEC5A	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-016-1092-z
Macrophage	COL8A2	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-016-1092-z
Macrophage	COLEC12	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-016-1092-z
Macrophage	CTSK	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-016-1092-z
Macrophage	CXCL5	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-016-1092-z
Macrophage	CYBB	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-016-1092-z
Macrophage	DNASE2B	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-016-1092-z
Macrophage	EMP1	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-016-1092-z
Macrophage	FDX1	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-016-1092-z
Macrophage	FN1	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-016-1092-z
Macrophage	GM2A	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-016-1092-z
Macrophage	GPC4	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-016-1092-z
Macrophage	KAL1	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-016-1092-z
Macrophage	MARCO	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-016-1092-z
Macrophage	ME1	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-016-1092-z
Macrophage	MS4A4A	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-016-1092-z
Macrophage	MSR1	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-016-1092-z
Macrophage	PCOLCE2	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-016-1092-z
Macrophage	PTGDS	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-016-1092-z
Macrophage	RAI14	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-016-1092-z
Macrophage	SCARB2	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-016-1092-z
Macrophage	SCG5	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-016-1092-z
Macrophage	SGMS1	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-016-1092-z
Macrophage	SULT1C2	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-016-1092-z
Macrophage	CD14	https://bmccancer.biomedcentral.com/articles/10.1186/s12885-019-5927-3
Macrophage	CD68	https://bmccancer.biomedcentral.com/articles/10.1186/s12885-019-5927-3
Macrophage	CD163	https://bmccancer.biomedcentral.com/articles/10.1186/s12885-019-5927-3
Macrophage	CSF1R	https://bmccancer.biomedcentral.com/articles/10.1186/s12885-019-5927-3
Macrophage	FCGR3A	https://bmccancer.biomedcentral.com/articles/10.1186/s12885-019-5927-3
Mast cell	ABCC4	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-016-1092-z
Mast cell	ADCYAP1	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-016-1092-z
Mast cell	CALB2	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-016-1092-z
Mast cell	CEACAM8	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-016-1092-z
Mast cell	CMA1	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-016-1092-z
Mast cell	CPA3	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-016-1092-z
Mast cell	CTSG	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-016-1092-z
