Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
Mpp3	3.86303980512881	2.00701148197394	12.3743632186844	7.40521046205761e-19	1.30450187499607e-14	31.9829264671879
Mcf2l	3.25979902466492	4.43295263031459	12.1651121245617	1.62737582412034e-18	1.43339262588519e-14	31.5042182419004
Chrm2	5.15827540318408	-0.283094332057087	11.415173794356	2.85741079291532e-17	1.67787161759987e-13	28.2928666775032
Pou3f3	4.75141082914107	0.792226467611969	10.9792529117663	1.55767330049636e-16	6.85999321538597e-13	26.8533779280505
Olfr558	3.83145133636497	2.61126016827389	10.4377200608857	1.31811608385547e-15	3.97999340133879e-12	24.9884222779089
Hey1	2.68051145524546	4.32944012991282	10.4306635029969	1.35558358356226e-15	3.97999340133879e-12	25.0435371289964
Exoc3l2	3.27137020031685	4.22689662329283	10.2716504601248	2.55265230980324e-15	6.42393186992769e-12	24.4403575003953
Cd300lg	3.20475443167198	5.25561540950425	10.0287052930024	6.74477953528766e-15	1.48520045367034e-11	23.5367151786432
Tmem150c	4.45571389757965	1.4221636822294	9.86491026529263	1.30251851600813e-14	2.54946290866659e-11	22.7361236394437
Kcnk5	3.66530985628193	1.16510708644164	9.709887619227	2.43341824933368e-14	4.28670958802622e-11	22.0832272624112
Zfp69	2.6568602920838	3.66401561231428	9.639468831924	3.23443784107896e-14	5.17980518258609e-11	21.9716283920395
Nrgn	3.64980253349289	0.88107224636941	9.43712301828035	7.34248298761123e-14	1.07787650258133e-10	21.0000678627812
Vsig2	2.65042621440079	2.4502505895302	9.38895335844858	8.92887991713187e-14	1.14857464953598e-10	20.9150506882509
Gimap6	2.59484383638375	5.89138881664184	9.38352230087052	9.12809099313338e-14	1.14857464953598e-10	21.0228560463042
Trpc3	4.25707320367514	0.443279142827907	9.33485172440081	1.11249601270657e-13	1.30651531732259e-10	20.5751150352424
Hey2	3.18991320718692	1.82133235342697	9.30386164439092	1.2619518356188e-13	1.3894089710163e-10	20.5435888881667
Plpp1	2.14473979259297	6.02875328969931	9.25929610081694	1.51292752403494e-13	1.45830753755687e-10	20.5350413672102
Slc1a1	3.91277247838663	0.0395244385576284	9.25524304067942	1.53810259566337e-13	1.45830753755687e-10	20.2105643518698
Colgalt2	2.58151123247772	3.29316204965236	9.24975237287919	1.57287938315058e-13	1.45830753755687e-10	20.4312019536412
Btnl9	3.67068978236981	4.41741340180644	9.18374808438622	2.05820984278192e-13	1.81287122952231e-10	20.2256047860342
Ramp3	3.64648173901177	3.06991252512308	9.13349198952756	2.52638102541365e-13	2.119272768747e-10	19.9990422348942
Higd1b	3.40157731657221	2.92618730100806	9.10748806614553	2.80919281964468e-13	2.24939730503913e-10	19.8615546497637
St3gal5	1.83255327946438	3.92781945477522	9.08474622527602	3.08246431085743e-13	2.36089962174193e-10	19.7940491501922
Gpr4	2.76742701516215	3.77060014657411	9.02406990752082	3.9493890504095e-13	2.89885156300057e-10	19.5698551979329
