Upstream.Regulator	Expr.Log.Ratio	Molecule.Type	Predicted.Activation.State	Activation.z.score	Flags	p.value.of.overlap	Target.Molecules.in.Dataset	Mechanistic.Network	q.overlap
DLL4	2.39	other	Not significant	1.548	NA	2.13e-12	DLL4,EFNB2,EGFL7,ESAM,FLT1,HEY1,HEY2,KDR,PECAM1,RGS5,SNCA	42 (7)	8.7756e-10
VEGFA	-4.25	growth factor	Activated	3.97	bias	1.79e-11	AK4,BCL6B,CD34,DLL1,DLL4,EFNB2,ESM1,ETS2,EXOC3L2,FLT1,FLT4,HLX,ID1,ITGA2,KDR,NOTCH4,PECAM1,RGS5,STC1,TAL1,TNC,TRPC6,VEGFA	112 (18)	4.91653333333333e-09
RUNX1	NA	transcription regulator	Not significant	0.736	NA	4.45e-10	ALOX12,CD34,CSF1,EGFL7,ENG,EPAS1,GATA2,HEY2,ICAM2,ITGA2,ITGA2B,JAM3,Podxl,SOX17,ST3GAL5,TAL1,VEGFA	46 (4)	9.167e-08
APP	NA	other	Not significant	0.803	bias	8.95e-10	ABCG2,AK1,BACE2,BIK,C1R,CD44,CDC14A,CDK5R1,CLDN5,COL13A1,CSF1,CTSD,ENG,EPAS1,ETS2,GAB1,HEY1,HEY2,ICAM2,INSR,ITGA2,ITGA3,KCNE3,LDB2,LDHA,LEF1,LPAR6,Nrgn,PGAM1,Plpp1,POU3F3,Rbfox3,SCARB1,SERPINF1,SNCA,ST3GAL5,VCAN,VEGFA	138 (22)	1.47496e-07
SOX2	NA	transcription regulator	Not significant	0.088	NA	1.11e-09	ABCG2,CASKIN2,CD44,CHST15,DLL1,EPHA2,ETS2,FLT1,GAB1,GATA2,HEY1,JAM3,KDR,LEF1,Macf1,MPZL1,NOTCH4,PECAM1,SERPINA1,SOX13,SOX17,SPRY4,TSPAN15,VCAN,VEGFA,ZFP57	41 (6)	1.5244e-07
PPP1R14B	NA	phosphatase	Not significant	0.555	bias	2.31e-09	EPAS1,FLT1,KDR,PECAM1,VEGFA	NA	2.7192e-07
TNF	NA	cytokine	Not significant	-1.347	bias	4.7e-09	ABCG2,ADORA2A,ASS1,BAMBI,BIK,CD44,CDK5R1,CLDN5,CSF1,CYYR1,DLL4,EDNRB,EFNA1,EFNB2,EGFL7,EMCN,ENG,EPHA2,ESM1,ETS2,FLT1,FLT4,FOXO1,GAB1,GATA2,ICAM2,ID1,INSR,ITGA2,JAG2,KDR,LDHA,LOX,LPAR6,LRRC8C,NOSTRIN,NOTCH4,PECAM1,PIK3C2B,PLVAP,POSTN,Ppbp,RGS5,RGS9,SCARB1,SERPINF1,SH3TC2,SNRK,ST3GAL5,TAOK2,THBS2,TIE1,TNC,TRPC3,TRPC6,VEGFA	142 (18)	4.841e-07
KLF4	NA	transcription regulator	Not significant	0.997	bias	2.15e-08	CD34,CD44,CHST15,DLL1,DLL4,EPHA2,FLT1,HEY1,HEY2,KDR,Macf1,NOTCH4,PECAM1,SEMA3F,SERPINA1,SOX17,TNC,VEGFA	48 (5)	1.96844444444444e-06
NOTCH4	2.44	transcription regulator	Activated	2.582	bias	4.62e-08	DLL4,EFNB2,FLT4,HEY1,HEY2,RGS5,TIE1	NA	3.4608e-06
ARNT	NA	transcription regulator	Not significant	0.481	bias	8.02e-08	BNIP3,CTSD,DEGS1,ENG,EPAS1,FLT1,INSR,LDHA,LOXL2,Macf1,RGS5,VEGFA	89 (12)	5.50706666666667e-06
NOTCH1	NA	transcription regulator	Not significant	1.508	NA	8.82e-08	CD44,DLL1,DLL4,EFNB2,EPAS1,ESM1,FLT1,GATA2,HEY1,HEY2,ID1,ITGA2B,LEF1,LOX,RGS5,TIE1,VEGFA	122 (19)	5.59052307692308e-06
EGF	NA	growth factor	Activated	2.228	bias	1.36e-07	ABCG2,ALOX12,CD44,CDH4,CTSD,EFNB2,EPAS1,EPHA2,ETS2,FLT1,GATA2,ID1,INSL3,ITGA2,JAG2,LDHA,MAPK11,SCG2,SERPINA1,SPRY4,TNC,TNFAIP1,VCAN,VEGFA	137 (17)	8.00457142857143e-06
APLN	NA	other	Activated	2.828	bias	2.01e-07	ALAS2,CD34,GATA2,ITGA2B,KDR,NOSTRIN,PECAM1,SOX18	NA	1.03515e-05
GATA2	2.2	transcription regulator	Not significant	1.485	NA	2.5e-07	AK1,ALAS2,CD34,DLL1,EMCN,GATA2,GIMAP8,GP9,ICAM2,ITGA2,ITGA2B,KDR,PECAM1,Ppbp,SLC4A1,SNCA,SOX18,TAL1,TSPAN12,VEGFA	NA	1.21176470588235e-05
ETV6	NA	transcription regulator	Not significant	-1	bias	2.85e-07	ALAS2,DLL4,ID1,SPRY4,VEGFA	NA	1.30466666666667e-05
TGFB1	NA	growth factor	Not significant	-0.788	bias	3.08e-07	ABCG2,AK1,ALOX12,APLNR,ASS1,BAMBI,C1R,CD34,CD44,CDH4,CDK5R1,Ces2e,CSF1,CTSD,DMTN,EDNRB,ENG,EPHA2,ESAM,ESM1,FLT1,FOXO1,HEY1,ICAM2,ID1,INHBB,ITGA2,ITGA3,JAG2,KDR,LDHA,LEF1,LOX,LOXL2,NFIB,PECAM1,PLCB1,POSTN,PPP1R13B,RAPGEF3,SCARB1,SERPINA1,SERPINF1,SLC4A1,ST3GAL5,TBX2,THBS2,TNC,TSC22D1,VCAN,VEGFA	152 (23)	1.33574736842105e-05
Bvht	NA	other	Not significant	1.667	bias	6.34e-07	DLL4,KCNJ8,KDR,LIMCH1,LSP1,SERPINF1,TBX2,TIE1,UNC45B	NA	2.61208e-05
HHEX	NA	transcription regulator	Not significant	-0.613	NA	7.06e-07	ENG,FLT1,KDR,TIE1,VEGFA	NA	2.77020952380952e-05
HAND1	NA	transcription regulator	Inhibited	-2.449	bias	9.3e-07	EFNB2,FLT1,HEY1,KDR,NOTCH4,TIE1	NA	3.36048695652174e-05
FGF2	NA	growth factor	Activated	2	bias	9.38e-07	ACER2,BAMBI,CSF1,DLL1,DLL4,EDNRB,EFNB2,EPAS1,FLT1,FOXO1,ITGA3,KDR,LEF1,LOX,NOTCH4,SCG2,SOX17,SPRY4,VEGFA,ZFP57	120 (18)	3.36048695652174e-05
ITGB1BP1	NA	other	Not significant	1.977	bias	1.01e-06	DLL1,DLL4,HEY1,HEY2	33 (5)	3.46766666666667e-05
ID2	NA	transcription regulator	Not significant	-0.817	NA	1.07e-06	CCR9,CD44,CSF1,DLL1,DLL4,ETS2,FOXO1,INHBB,ITGA3,PIK3C2B,RAPGEF4,RPS6KA2,SEMA3F,SOX13	21 (3)	3.52672e-05
HIF1A	NA	transcription regulator	Not significant	-0.789	bias	1.4e-06	BNIP3,CD44,COX4I2,CSF1,CTSD,DLL4,EDNRB,ENG,EPAS1,FLT1,GCHFR,ID1,INHBB,ITGA2B,LDHA,LOX,LOXL2,SCG2,TAF9B,VEGFA	90 (14)	4.43692307692308e-05
KITLG	NA	growth factor	Activated	2.425	bias	1.76e-06	BIK,CSF1,EDNRB,EFNB2,GP9,ITGA2B,KDR,LY6E,MAPK11,MRVI1,Podxl,Ppbp,SLC4A1,TACR1,TAL1	NA	5.37125925925926e-05
KLF1	NA	transcription regulator	Not significant	0.255	bias	2.25e-06	ALAS2,CD44,DMTN,GP9,HBB,ITGA2B,PECAM1	NA	6.39310344827586e-05
COL18A1	NA	other	Not significant	-1.584	bias	2.73e-06	CD34,EDNRB,EFNA1,EFNB2,ID1,KDR,LDHA,PECAM1,VEGFA	111 (13)	7.4984e-05
HGF	NA	growth factor	Activated	2.492	bias	3.53e-06	ABCG2,ADORA2A,CD44,CDC14A,CSF1,DOK4,EFNB2,ESM1,FKBP5,FLT1,GAB1,GPR4,HLX,ID1,ITGA2,LDHA,PGAM1,STC1,TACR1,TBXA2R,VEGFA	125 (16)	9.38296774193548e-05
AGT	NA	growth factor	Not significant	0.426	bias	4.98e-06	ALOX12,CD44,DLL4,EDNRB,EFNB2,ENG,FLT1,HEY1,INHBB,INSR,ITGA2,NOTCH4,PECAM1,POSTN,SCARB1,SLC1A1,SNCA,STC1,TBX2,VEGFA	143 (22)	0.000128235
KLF2	NA	transcription regulator	Not significant	-1.406	NA	5.83e-06	APLNR,ASS1,CD44,DLL1,EFNA1,EPAS1,FLT1,HBB,ID1,KDR,PECAM1,SEMA3F	NA	0.000144927058823529
