Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
POU3F3	10.9792695434914	-4.12727025465299	20.3112742513232	3.59416065590313e-30	6.34944421471847e-26	55.6636238094197
SLC28A1	9.50596211860919	-2.17477608545589	17.856520925861	4.99649228558576e-27	4.41340163585791e-23	49.5761409051585
CDH6	9.77741661930435	-0.362780272788131	17.1296261491877	4.8440111042498e-26	2.8524766722559e-22	47.7060435760827
SPP1	13.3523525889932	-1.67808391741556	16.6876894053615	1.98690471163088e-25	8.77516465891776e-22	46.4410677577279
SLITRK2	10.4709850012238	-3.94089963709823	16.163060592352	1.09415287359728e-24	3.86586093299391e-21	44.3846263604218
C8orf22	10.1147641994812	-3.96249460202411	15.4437430576527	1.19882077556201e-23	3.52972797017974e-20	42.0302800061676
AQP9	10.3039605680524	-3.58225569548253	15.0262908692881	4.95427277215971e-23	1.25031689704248e-19	41.0082808710479
ASPA	5.56917084131661	1.26378249314568	14.8906297893077	7.89390968011394e-23	1.74317260511116e-19	40.7198759107023
PRIMA1	9.9086378906974	-2.76482151053813	14.6417090880625	1.86700505976514e-22	3.66472348731232e-19	39.9106682627698
FABP7	9.63968588280062	-2.13268533772483	14.5757945598291	2.34809329824063e-22	4.1481416206719e-19	39.7553631096506
SEC14L6	7.89973673892246	-0.0217641944720399	14.5239693102641	2.81300740778368e-22	4.51768989690059e-19	39.5370564990108
SALL1	10.3054816051297	-3.7644654608226	13.986809423494	1.86691043559008e-21	2.74840331292786e-18	37.5200854142022
COL23A1	8.91238359232281	-2.52748026684232	13.8566218067566	2.96994465046769e-21	3.95377621021455e-18	37.2833181858646
GAL3ST1	8.00925560606377	1.37090446114612	13.8416462169643	3.13329938542985e-21	3.95377621021455e-18	37.3697381172244
PREX2	9.75895015297845	-2.10273317847279	13.7391950824301	4.5229187870031e-21	5.32679221941312e-18	37.0049594402222
ITIH5	9.43415181057955	-1.03081624658781	13.6615523930949	5.97890808934107e-21	6.6014618941437e-18	36.731083779438
EPO	9.01707639280212	-3.38545948672436	13.6202202377994	6.93872379820828e-21	7.21055850700868e-18	36.2237428407198
SERPINF2	8.80450497819942	0.857779826258565	13.4351423919223	1.35509373089651e-20	1.32994921388988e-17	35.9515320690485
CNTN6	8.34470153418513	-4.88035113723104	13.2812193868115	2.37232571074678e-20	2.20576347400277e-17	33.6655291555881
KRT25	7.41883944854908	-3.71374563952734	13.0176856365916	6.2318053027119e-20	5.50455362388542e-17	33.5160404451126
SORCS3	10.5828611662625	-3.59170422796686	12.9730903073705	7.34464682932797e-20	6.17859670890038e-17	34.1983908436423
NOX4	8.66019340750581	-1.70206415078931	12.6589923060491	2.35316893177725e-19	1.88959465221713e-16	33.1521634574884
ACSM5	7.89366868886244	-3.91739428241195	12.4362656699367	5.41370484874804e-19	4.15819608078186e-16	31.673848475707
BHMT2	7.49693044964971	-1.51883452959131	12.3653922276908	7.06641089249044e-19	5.17554382725287e-16	32.1664557134255
PGF	7.26308298895177	1.39668812024152	12.3484388769284	7.53210169913976e-19	5.17554382725287e-16	32.2380524035941
B3GNT4	5.70204527283106	0.0564961377180053	12.3454580870358	7.61712552409003e-19	5.17554382725287e-16	31.961314885497
SEMA5B	9.69627907907044	-1.66471883111002	12.0920638693187	1.98584268378402e-18	1.29932951302698e-15	31.2152895031703
BHMT	9.42126763362204	-2.94990328052031	11.9738814912762	3.11318883513228e-18	1.96419978433739e-15	30.6592216922164
CRYAB	7.84681567997541	0.303277726373746	11.9313608994967	3.66132262316212e-18	2.16255040081347e-15	30.7420880660759
NAT8	8.67857200831521	-3.51765248772932	11.9305698217773	3.67239397851263e-18	2.16255040081347e-15	30.2627547587276
CP	10.7093542531061	-0.399320183315948	11.9152395584966	3.89373820869765e-18	2.21892836112428e-15	30.6756975396843
TRIM55	7.82599782834257	-3.63393892348496	11.8534624569581	4.9308012474648e-18	2.72211046367854e-15	29.8868849171933
PLPPR5	7.68163706560845	-4.17778472283805	11.779435395813	6.5473491651422e-18	3.50501425307279e-15	29.1805215838047
ENPP3	9.98162163004479	1.51963582860316	11.7251559136428	8.06386172716647e-18	4.1898876844742e-15	30.0039034134464
C1R	6.69824029094266	2.71843800970283	11.4132717540687	2.68747236792264e-17	1.35648248147775e-14	28.9482694662795
KCNJ16	8.63637288771242	-2.61262394746258	11.3481015016683	3.46104999191617e-17	1.69841414325531e-14	28.288435867724
FXYD2	10.3953081666996	-1.6362667182436	11.1351083771688	7.93848676195089e-17	3.79030559828715e-14	27.7155472865577
CDH16	10.6751583781695	-1.90069494034341	11.100837154262	9.07726897337983e-17	4.21997457062443e-14	27.5378119598399
LGI4	8.10136993574317	-0.0114369705189095	11.0939737305654	9.32440484366409e-17	4.22371630687615e-14	27.5872880843211
APLN	6.53129252304451	0.952625415487652	11.0706051319489	1.02178211317571e-16	4.51270070284051e-14	27.4788608395383
KMO	7.2507590418817	0.344434846083878	10.9544678150648	1.61150747592676e-16	6.9436319682249e-14	27.1093060460059
NNMT	9.41451701921769	-1.5534341024732	10.84151184308	2.51361325590574e-16	1.05727361378169e-13	26.6269848938911
HSPB2	6.94624752812095	-3.24781137335585	10.7783521510491	3.22486391670298e-16	1.32489409191802e-13	26.0244272191987
IGFBP1	8.93850149667402	-1.83702681959521	10.5834491883336	6.97577027980843e-16	2.80077176734308e-13	25.6131839892849
PAX8	6.2757489847181	2.48606023384453	10.5490951145902	7.99523371622055e-16	3.13875108512783e-13	25.6031152152735
TMEM91	4.79483126940938	2.28258447111686	10.4523339870856	1.17479405671875e-15	4.51171995782466e-13	25.2263108625725
CREB3L3	7.82410020506766	-0.938183662233219	10.4017588198295	1.43707522982091e-15	5.34357126457116e-13	24.8980539469188
RARRES2	7.72385832571601	2.72811427756858	10.3991859767493	1.45189301878985e-15	5.34357126457116e-13	25.0321117942474
RBP5	6.51349227739919	0.931550487774643	10.3402580943732	1.83675356150249e-15	6.62205886071491e-13	24.7433685799271
LBP	8.64912955393723	-2.5803333022287	10.2964478025254	2.18808929109576e-15	7.73095708329953e-13	24.4752688325295
ATP2B2	7.4105243307936	-3.23682282070136	10.1210300251718	4.41797910992912e-15	1.5303533128629e-12	23.3776511108146
NEFL	9.30992010283894	-2.74711849449479	10.0776005074813	5.25976616340624e-15	1.78690440466797e-12	23.6879219179339
PPP1R1A	6.55874231121268	-0.801505770558622	10.0705986860694	5.40984586121882e-15	1.80321390536399e-12	23.6709893122163
PRODH2	8.05217603072198	-4.09154075076381	10.0482099947703	5.91925437169631e-15	1.93647310611828e-12	23.3638602544245
MAF	8.75042394733335	-0.459041251047598	10.0390517761511	6.14128751498008e-15	1.9725815498116e-12	23.5585931192432
PLA1A	8.8126775528013	-1.43347585569972	10.0325211411227	6.30471522790036e-15	1.98891248600157e-12	23.4781268479623
ITIH4	7.50801374511149	-1.28339394312597	9.93021030638778	9.51855928354521e-15	2.95008540882649e-12	23.1049001000195
KISS1R	7.31824152129986	-2.33765955837359	9.88549234415002	1.13996737297769e-14	3.47218338121102e-12	22.7117638522817
